Facility_name,Million_gallons_per_day_flow,GHGI_emissions_mol_per_s,Moore_Emissions_mol_per_s,longitude,latitude,Source
BEDFORD STP,0.412208333333333,0.005346094086133811,0.0030913280352540757,-78.486107,40.0178,Discharge Monitoring Reports
BEDMINSTER STP,0.194508333333333,0.0025226560611432158,0.0011826139930745114,-75.207388,40.394175,Discharge Monitoring Reports
BEECH CREEK BORO,0.090975,0.001179891016644554,0.0004473333154936828,-77.584157,41.07201,Discharge Monitoring Reports
BELCHERTOWN WATER RECLAMATION FACILITY,0.408833333333333,0.005302322366637516,0.0030589836210611616,-72.42563,42.281579,Discharge Monitoring Reports
BELGRAVE WPCP,1.40833333333333,0.018265236036725214,0.014886782923875236,-73.745556,40.777778,Discharge Monitoring Reports
BELL ACRES BORO STP #3,0.002,2.593879673854474e-05,3.385157203170845e-06,-79.71216,40.2313,Discharge Monitoring Reports
BELLE VERNON STP,0.61975,0.008037784639356551,0.005208596220943355,-79.8623,40.122,Discharge Monitoring Reports
BELLOWS FALLS WASTE WATER TREATMENT FACILITY,0.368483333333333,0.004779007142437376,0.002678189504869099,-72.443236,43.129514,Discharge Monitoring Reports
BELMONT (V) WWTF,0.13478904109589,0.0017481327697848222,0.0007397088164390381,-78.040167,42.230194,Discharge Monitoring Reports
BENNINGTON WASTEWATER TREATMENT FACILITY,3.89083333333333,0.05046176748844387,0.054630234649860596,-73.256879,42.914957,Discharge Monitoring Reports
BENNINGTON WATER TREATMENT FACILITY,0.108333333333333,0.0014050181566711692,0.0005593176068991123,-73.13255,42.89579,Discharge Monitoring Reports
BENS CREEK WTP,0.1176075,0.0015252985187142003,0.0006212941110330067,-78.61036,40.38797,Discharge Monitoring Reports
BENSON STP,0.09645,0.0012508984727163202,0.00048206077299704005,-78.91808,40.208965,Discharge Monitoring Reports
BENTON MWSA WWTP,0.0765714285714286,0.000993085360847142,0.0003588094103150322,-76.386608,41.191194,Discharge Monitoring Reports
BERGEN (V) STP,0.0,0.0,0.0,-77.93554,43.09364,Discharge Monitoring Reports
BERGEN COUNTY UTILITIES AUTHORITY,83.34625,1.0809507188349672,2.7546741953045726,-74.0332,40.8369,Discharge Monitoring Reports
